Time                          Total bandwidth               
78.456                        0.0                           
78.556                        0.0                           
78.657                        0.0                           
78.758                        0.0                           
78.859                        0.0                           
78.96                         0.0                           
79.062                        0.0                           
79.162                        0.0                           
79.263                        0.0                           
79.363                        0.0                           
79.464                        0.0                           
79.566                        0.0                           
79.666                        0.0                           
79.767                        0.0                           
79.868                        0.0                           
79.969                        0.0                           
80.07                         0.0                           
80.171                        0.0                           
80.272                        0.0                           
80.372                        0.0                           
80.473                        0.0                           
80.575                        0.0                           
80.675                        0.0                           
80.776                        0.0                           
80.876                        0.0                           
80.976                        0.0                           
81.077                        0.0                           
81.177                        0.0                           
81.277                        0.0                           
81.379                        0.0                           
81.479                        0.0                           
81.579                        0.0                           
81.679                        0.0                           
81.779                        0.0                           
81.88                         0.0                           
81.98                         0.0                           
82.08                         0.0                           
82.181                        0.0                           
82.281                        0.0                           
82.381                        0.0                           
82.481                        0.0                           
82.582                        0.0                           
82.683                        0.0                           
82.783                        0.0                           
82.884                        0.0                           
82.985                        0.0                           
83.085                        0.0                           
83.186                        0.0                           
83.286                        0.0                           
83.386                        0.0                           
83.487                        0.0                           
83.587                        0.0                           
83.688                        0.0                           
83.788                        0.0                           
83.889                        0.0                           
83.99                         0.0                           
84.091                        0.0                           
84.191                        0.0                           
84.291                        0.0                           
84.393                        0.0                           
84.494                        0.0                           
84.594                        0.0                           
84.696                        0.0                           
84.796                        0.0                           
84.897                        0.0                           
84.998                        0.0                           
85.098                        0.0                           
85.2                          0.0                           
85.3                          0.0                           
85.402                        0.0                           
85.503                        0.0                           
85.603                        0.0                           
85.705                        0.0                           
85.806                        0.0                           
85.907                        0.0                           
86.007                        0.0                           
86.108                        0.0                           
86.209                        0.0                           
86.309                        0.0                           
86.411                        0.0                           
86.511                        0.0                           
86.611                        0.0                           
86.713                        0.0                           
86.814                        0.0                           
86.914                        0.0                           
87.016                        0.0                           
87.116                        0.0                           
87.216                        0.0                           
87.317                        0.0                           
87.417                        0.0                           
87.518                        0.0                           
87.619                        0.0                           
87.721                        0.0                           
87.822                        0.0                           
87.922                        0.0                           
88.023                        0.0                           
88.123                        0.0                           
88.223                        0.0                           
88.324                        0.0                           
88.424                        0.0                           
88.525                        0.0                           
88.625                        0.0                           
88.725                        0.0                           
88.826                        0.0                           
88.926                        0.0                           
89.027                        0.0                           
89.128                        0.0                           
89.23                         0.0                           
89.331                        0.0                           
89.432                        0.0                           
89.533                        0.0                           
89.633                        0.0                           
89.734                        0.0                           
89.835                        0.0                           
89.935                        0.0                           
90.035                        0.0                           
90.137                        0.0                           
90.238                        0.0                           
90.338                        0.0                           
90.439                        0.0                           
90.539                        0.0                           
90.643                        0.0                           
90.743                        0.0                           
90.844                        0.0                           
90.945                        0.0                           
91.045                        0.0                           
91.145                        0.0                           
91.245                        0.0                           
91.346                        0.0                           
91.446                        0.0                           
91.546                        0.0                           
91.646                        0.0                           
91.746                        0.0                           
91.846                        0.0                           
91.947                        0.0                           
92.047                        0.0                           
92.147                        0.0                           
92.247                        0.0                           
92.348                        0.0                           
92.448                        0.0                           
92.548                        0.0                           
92.649                        0.0                           
92.749                        0.0                           
92.85                         0.0                           
92.95                         0.0                           
93.051                        0.0                           
93.151                        0.0                           
93.252                        0.0                           
93.353                        0.0                           
93.453                        0.0                           
93.554                        0.0                           
93.655                        0.0                           
93.755                        0.0                           
93.855                        0.0                           
93.956                        0.0                           
94.056                        0.0                           
94.157                        0.0                           
94.257                        0.0                           
94.358                        0.0                           
94.458                        0.0                           
94.559                        0.0                           
94.66                         0.0                           
94.76                         0.0                           
94.86                         0.0                           
94.961                        0.0                           
95.062                        0.0                           
95.162                        0.0                           
95.262                        0.0                           
95.363                        0.0                           
95.464                        0.0                           
95.565                        0.0                           
95.666                        0.0                           
95.766                        0.0                           
95.867                        0.0                           
95.967                        0.0                           
96.069                        0.0                           
96.169                        0.0                           
96.269                        0.0                           
96.37                         0.0                           
96.47                         0.0                           
96.57                         0.0                           
96.671                        0.0                           
96.772                        0.0                           
96.872                        0.0                           
96.972                        0.0                           
97.073                        0.0                           
97.173                        0.0                           
97.273                        0.0                           
97.373                        0.0                           
97.473                        0.0                           
97.573                        0.0                           
97.673                        0.0                           
97.773                        0.0                           
97.874                        0.0                           
97.974                        0.0                           
98.074                        0.0                           
98.174                        0.0                           
98.274                        0.0                           
98.374                        0.0                           
98.475                        0.0                           
98.575                        0.0                           
98.675                        0.0                           
98.775                        0.0                           
98.875                        0.0                           
98.975                        0.0                           
99.076                        0.0                           
99.176                        0.0                           
99.277                        0.0                           
99.377                        0.0                           
99.477                        0.0                           
99.577                        0.0                           
99.677                        0.0                           
99.777                        0.0                           
99.878                        0.0                           
99.978                        0.0                           
100.078                       0.0                           
100.178                       0.0                           
100.278                       0.0                           
100.378                       0.0                           
100.478                       0.0                           
100.579                       0.0                           
100.679                       0.0                           
100.779                       0.0                           
100.879                       0.0                           
100.979                       0.0                           
101.079                       0.0                           
101.18                        0.0                           
101.28                        0.0                           
101.38                        0.0                           
101.48                        0.0                           
101.58                        0.0                           
101.68                        0.0                           
101.781                       0.0                           
101.881                       0.0                           
101.982                       0.0                           
102.082                       0.0                           
102.182                       0.0                           
102.282                       0.0                           
102.382                       0.0                           
102.483                       0.0                           
102.583                       0.0                           
102.683                       0.0                           
102.784                       0.0                           
102.884                       0.0                           
102.984                       0.0                           
103.084                       0.0                           
103.184                       0.0                           
103.284                       0.0                           
103.384                       0.0                           
103.484                       0.0                           
103.585                       0.0                           
103.685                       0.0                           
103.785                       0.0                           
103.885                       0.0                           
103.986                       0.0                           
104.086                       0.0                           
104.186                       0.0                           
104.286                       0.0                           
104.387                       0.0                           
104.488                       0.0                           
104.589                       0.0                           
104.689                       0.0                           
104.79                        0.0                           
104.891                       0.0                           
104.992                       0.0                           
105.093                       0.0                           
