time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20003] Optional[local:sl-20004] Optional[local:sl-20005] Optional[local:sl-20006] Optional[local:sl-20007] Optional[local:sl-20008] Optional[local:sl-20009] 
103.086 81724.0 81208.0 80824.0 81464.0 81532.0 82364.0 82300.0 81468.0 81724.0 81524.0 
104.087 82812.0 82428.0 81916.0 82428.0 82748.0 83388.0 83260.0 82428.0 82492.0 82300.0 
105.087 83772.0 83388.0 82876.0 83324.0 83772.0 84412.0 84156.0 83388.0 83644.0 83388.0 
106.087 84668.0 84668.0 83900.0 84220.0 84668.0 85372.0 85308.0 84412.0 84540.0 84284.0 
107.087 85884.0 85500.0 84988.0 85436.0 85692.0 86396.0 86268.0 85372.0 85500.0 85244.0 
108.088 86844.0 86460.0 85884.0 86268.0 86652.0 87484.0 87100.0 86140.0 86780.0 86396.0 
109.088 87868.0 87548.0 86972.0 87292.0 87548.0 88508.0 87996.0 87100.0 87804.0 87484.0 
110.088 88636.0 88700.0 88124.0 88380.0 88508.0 89276.0 89148.0 88124.0 88892.0 88380.0 
111.089 89788.0 89660.0 89212.0 89276.0 89532.0 90300.0 90172.0 89148.0 89724.0 89340.0 
112.09 90940.0 90620.0 90172.0 90236.0 90364.0 91196.0 91196.0 90044.0 90876.0 90492.0 
113.09 91644.0 91452.0 91388.0 91324.0 91388.0 92348.0 92156.0 91004.0 91708.0 91580.0 
114.091 92732.0 92924.0 92284.0 92220.0 92540.0 93180.0 93180.0 92028.0 92668.0 92476.0 
115.091 93756.0 93820.0 93308.0 93372.0 93500.0 94204.0 93948.0 92988.0 93884.0 93500.0 
116.091 94844.0 94908.0 94076.0 94460.0 94460.0 95228.0 95036.0 93948.0 94780.0 94332.0 
117.092 95740.0 96000.0 95292.0 95292.0 95484.0 96252.0 96124.0 94780.0 95808.0 95420.0 
118.092 96960.0 96516.0 96380.0 96256.0 96256.0 97280.0 97344.0 95872.0 96640.0 96384.0 
119.093 97732.0 97604.0 97532.0 97024.0 97216.0 98180.0 98240.0 96960.0 97476.0 97028.0 
120.093 98632.0 98312.0 98436.0 97860.0 98180.0 98948.0 99204.0 97672.0 98180.0 97928.0 
121.094 99344.0 98832.0 99092.0 98704.0 98956.0 99604.0 99604.0 98572.0 98956.0 98636.0 
122.095 99608.0 99352.0 99480.0 99160.0 99288.0 99740.0 99932.0 99160.0 99480.0 98968.0 
123.095 99864.0 99544.0 99736.0 99416.0 99480.0 99804.0 100000.0 99352.0 99736.0 99288.0 
124.096 100000.0 99800.0 99868.0 99672.0 99864.0 99932.0 100000.0 99608.0 99868.0 99544.0 
125.096 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 
126.098 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 
127.098 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 
